clue_id,pack_id,pack_name,category_set_id,content_kind,round,tier,difficulty,macro_topic,category_name_en,category_name_et,clue_en,clue_et,response_en,response_et,accepted_variants_en,accepted_variants_et,explanation_en,explanation_et,source_title,source_url,source_license,source_retrieved_at,translation_status,enabled
built-in-estonia-clue-0001,built-in-estonia,Estonia / Eesti,built-in-estonia-set-001,board,round-one,1,easy,history-statehood,"Blue, Black, White—and More","Sinine, must, valge ja veel","Blue also belongs to this grain-field flower, chosen as Estonia’s national flower in 1968.","Sinine on ka selle viljapõllulille värv, mis valiti 1968. aastal Eesti rahvuslilleks.",cornflower,rukkilill,,,The blue cornflower has been Estonia’s national flower since 1968 and was long familiar among fields of rye.,Sinine rukkilill on olnud Eesti rahvuslill alates 1968. aastast ning kasvas vanasti sageli rukkipõldudel.,National symbols of Estonia,https://estinst.ee/wp-content/uploads/2017/02/549_symbolid-veebi-juuni-2015_1.pdf,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0002,built-in-estonia,Estonia / Eesti,built-in-estonia-set-001,board,round-one,2,easy,history-statehood,"Blue, Black, White—and More","Sinine, must, valge ja veel",The “black bread” at an Estonian table is traditionally baked mainly from this grain.,Eesti laua „must leib“ küpsetatakse traditsiooniliselt peamiselt sellest teraviljast.,rye,rukis,,,Rye gives Estonian black bread its dark crumb and characteristic sourdough flavour.,Rukis annab Eesti mustale leivale tumeda sisu ja iseloomuliku hapuka maitse.,Regional flavors,https://visitestonia.com/en/what-to-do/regional-flavors,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0003,built-in-estonia,Estonia / Eesti,built-in-estonia-set-001,board,round-one,3,easy,history-statehood,"Blue, Black, White—and More","Sinine, must, valge ja veel","Around midsummer, lingering northern twilight gives Estonia’s short summer nights this bright nickname.",Jaanipäeva paiku annab pikk põhjamaine videvik Eesti lühikestele suveöödele selle heleda nimetuse.,white nights,valged ööd,,,"Estonia’s northern latitude leaves only twilight around the summer solstice, creating the season known as the white nights.",Eesti põhjapoolse asendi tõttu ei lähe suvise pööripäeva paiku päriselt pimedaks ning seda aega tuntakse valgete öödena.,Midsummer’s Eve – when Dusk meets Dawn,https://visitestonia.com/en/what-to-do/midsummers-eve-when-dusk-meets-dawn-jaanipaev,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0004,built-in-estonia,Estonia / Eesti,built-in-estonia-set-001,board,round-one,4,easy,history-statehood,"Blue, Black, White—and More","Sinine, must, valge ja veel",White limestone layers rise above the Baltic at this dramatic coastal escarpment near Paldiski.,Paldiski lähedal kerkivad Läänemere kohal valged paekihid sellel järsul rannikupangal.,Pakri cliffs,Pakri pank,,,The Pakri peninsula ends in a high limestone cliff whose exposed pale rock forms one of northern Estonia’s most striking coastal views.,"Pakri poolsaar lõpeb kõrge paekaldaga, mille hele paljand on üks Põhja-Eesti silmapaistvamaid rannikuvaateid.",Pakri Landscape Conservation Area and cliffed coast,https://visitestonia.com/en/pakri-landscape-conservation-area-and-cliffed-coast,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0005,built-in-estonia,Estonia / Eesti,built-in-estonia-set-001,board,round-one,5,easy,history-statehood,"Blue, Black, White—and More","Sinine, must, valge ja veel",The first blue-black-white flag was consecrated at Otepää in 1884 for which Tartu student organization?,Millise Tartu üliõpilasorganisatsiooni esimene sinimustvalge lipp pühitseti 1884. aastal Otepääl?,Estonian Students’ Society,Eesti Üliõpilaste Selts,EÜS,EÜS,"The Estonian Students’ Society, abbreviated EÜS in Estonian, adopted the blue-black-white colours; its first flag was consecrated at Otepää in 1884.",Eesti Üliõpilaste Selts ehk EÜS võttis kasutusele sinimustvalged värvid ning seltsi esimene lipp pühitseti 1884. aastal Otepääl.,Sinimustvalge postiajaloos,https://www.erm.ee/naitused/sinimustvalge-postiajaloos/,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0006,built-in-estonia,Estonia / Eesti,built-in-estonia-set-002,board,round-one,1,easy,history-statehood,Estonia’s Famous Firsts,Eesti kuulsad esimesed,Tallinn records a public Christmas tree on Town Hall Square in 1441. In which decade was that?,Tallinna Raekoja platsil on avalik jõulupuu kirja pandud 1441. aastal. Millises kümnendis see oli?,1440s,1440. aastad,,,"Tallinn’s Brotherhood of the Black Heads erected a festive tree on Town Hall Square in 1441, placing the record in the 1440s.","Tallinna Mustpeade vennaskond püstitas 1441. aastal Raekoja platsile pidupuu, seega pärineb teade 1440. aastatest.",The story of the Christmas tree on Town Hall square,https://www.visittallinn.ee/eng/visitor/ideas-tips/tips-and-guides/christmas-tree,All rights reserved,2026-08-28,reviewed,true
built-in-estonia-clue-0007,built-in-estonia,Estonia / Eesti,built-in-estonia-set-002,board,round-one,2,easy,history-statehood,Estonia’s Famous Firsts,Eesti kuulsad esimesed,In 2005 Estonia became the first country to offer nationwide binding elections through this digital method.,2005. aastal pakkus Eesti esimese riigina üleriigilistel siduvatel valimistel seda digitaalset võimalust.,internet voting,e-hääletamine,e-voting;i-voting;online voting,e-hääletus;i-hääletus;interneti-hääletus,"Estonia introduced binding nationwide internet voting in 2005, allowing authenticated ballots to be cast online.","Eesti võttis 2005. aastal kasutusele siduva üleriigilise e-hääletamise, mis võimaldab anda tuvastatud hääle internetis.",Electronic voting in Estonia,https://en.wikipedia.org/wiki/Electronic_voting_in_Estonia,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-estonia-clue-0008,built-in-estonia,Estonia / Eesti,built-in-estonia-set-002,board,round-one,3,easy,history-statehood,Estonia’s Famous Firsts,Eesti kuulsad esimesed,"In 2016, this former European Court of Auditors member became Estonia’s first woman president.",2016. aastal sai sellest endisest Euroopa Kontrollikoja liikmest Eesti esimene naispresident.,Kersti Kaljulaid,Kersti Kaljulaid,,,Kersti Kaljulaid served as Estonia’s president from 2016 to 2021 and was the first woman to hold the office.,Kersti Kaljulaid oli aastatel 2016–2021 Eesti president ning esimene naine selles ametis.,Kersti Kaljulaid,https://en.wikipedia.org/wiki/Kersti_Kaljulaid,CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-estonia-clue-0009,built-in-estonia,Estonia / Eesti,built-in-estonia-set-002,board,round-one,4,easy,history-statehood,Estonia’s Famous Firsts,Eesti kuulsad esimesed,"Tanel Padar, Dave Benton and 2XL gave Estonia its first Eurovision win with this 2001 song.","Tanel Padar, Dave Benton ja 2XL tõid Eestile 2001. aastal esimese Eurovisiooni võidu selle lauluga.",Everybody,„Everybody“,,,“Everybody” won Eurovision 2001 for Estonia and brought the following year’s contest to Tallinn.,„Everybody“ võitis Eestile 2001. aasta Eurovisiooni ning tõi järgmise aasta võistluse Tallinna.,Everybody (Tanel Padar and Dave Benton song),https://en.wikipedia.org/wiki/Everybody_(Tanel_Padar_and_Dave_Benton_song),CC-BY-SA-4.0,2026-08-28,reviewed,true
built-in-estonia-clue-0010,built-in-estonia,Estonia / Eesti,built-in-estonia-set-002,board,round-one,5,easy,history-statehood,Estonia’s Famous Firsts,Eesti kuulsad esimesed,"Johannes Pääsuke made Estonia’s first narrative film in 1914, a political satire about hunting this animal in Pärnumaa.","Johannes Pääsuke tegi 1914. aastal Eesti esimese mängufilmi, poliitilise satiiri selle looma jahist Pärnumaal.",Bear Hunt in Pärnumaa,„Karujaht Pärnumaal“,,,Johannes Pääsuke’s 1914 satire “Bear Hunt in Pärnumaa” is generally regarded as the first Estonian narrative film.,Johannes Pääsukese 1914. aasta satiiri „Karujaht Pärnumaal“ peetakse üldiselt esimeseks Eesti mängufilmiks.,Lauri Kärk (2012). Eesti filmiajaloo lühikonspekt,https://www.efis.ee/en/page/eesti-filmiajaloo-luhikonspekt,All rights reserved,2026-08-28,reviewed,true
